	L1	L2	L3	M1	M2	M3	Q1	Q2	Q3	T1	T2	T3	X1	X2	X3
gene_588	20.11	24.08	10.85	6.55	15.63	9.38	22.62	21.58	5.81	39.39	41.23	43.83	9.61	6.73	3.49
gene_589	196.86	211.68	139.24	757.34	75.71	450.79	1174.98	945.96	276.91	383.85	506.63	563.72	67.28	55.2	54.32
gene_590	71.02	57.08	60.75	110.22	199.62	75.27	233.29	208.96	32.15	143.82	166.95	181.2	40.33	40.68	27.07
gene_591	18.03	26.32	10.17	34.04	14.8	30.11	94.61	97.39	20.87	27.67	25.11	24.94	5.92	7.67	5.37
gene_592	46.07	58.52	30.06	55.89	20.09	52.47	72.1	71.98	15.03	88.38	87.69	94.85	20.9	15.72	17.27
gene_593	222.8	180.94	287.4	1909.21	2693.89	1163.84	3173.98	3121.17	474.17	622.65	617.02	637.06	98.36	107.27	94.48
gene_594	34.88	47.66	12.07	7.15	30.72	8.67	5.46	8.33	2.24	61.04	66.1	64.26	15.83	21.22	2.86
gene_595	120.13	118.47	112.94	95.04	153.45	74.73	86.53	78.74	41.72	156.54	182.31	200.01	75.46	78.68	51.79
gene_596	51.18	61.91	52.99	68.38	55.05	68.59	53.19	56.21	44.05	109.01	102.14	110.49	18.83	20.88	14.2
gene_597	60.82	75.57	36.85	103.76	56.39	109.98	174.27	168.51	43.63	122.83	132.68	154.48	41	33.44	34.42
gene_598	30.36	37.28	20.5	31.35	7.18	32.74	50.31	72.21	17	42.8	43.77	48.73	11.58	9.59	4.17
gene_599	62.47	42.41	107.2	364.57	781.45	377.35	864.75	1150.43	161.22	151.56	94.03	118.24	33.05	37.33	45.46
gene_600	34.45	29.56	34.59	9.94	9.73	13.01	13.7	14.02	4.38	392.28	439.09	402.27	168.44	161.64	140.42
gene_601	15.6	21.76	11.19	12.94	22.32	17.31	13.44	10.05	8.01	40.93	45.64	42.42	9.56	7.59	4.02
gene_602	45.17	77.28	25.07	24.72	6.88	37.2	89.49	91.06	15.02	76.99	69.21	83.8	20.24	19.01	17.14
gene_603	41.49	41.59	35.73	60.29	89.87	51.59	95.88	97.41	28.93	93.02	95.31	94.28	22.89	25.56	16.55
gene_604	325.09	292.93	314.65	961.83	177.05	941.55	1259.4	1205.84	337.2	1001.07	1021.06	1140.7	92.4	98.48	77.83
gene_605	38	44.58	25.92	72.42	114.28	70.45	138.27	123.83	26.38	64.23	60.72	65.61	14.45	14.36	9.44
gene_606	143.2	113.15	142.47	263.02	618.18	239.6	274.8	261.95	129.37	141.48	160.29	149.81	66.83	62.47	63.89
gene_607	6.01	11.34	3.83	1.86	0.41	1.59	1.62	0.31	0.27	8.54	11.02	6.8	1.07	2.52	3.26
gene_608	25.3	28.93	25.93	22.49	77.03	24.75	88.56	85.76	12.82	49.69	41.01	42.97	8.83	8.8	8.01
gene_609	21.42	20.06	15.42	11.57	6.96	7.92	16.19	8.56	4.17	25.75	37.41	32.49	9.23	7	3.82
gene_610	37.44	41.26	18.05	43.75	3.59	57.81	179.62	212.32	22.66	64.96	82.57	91.32	13.8	8.44	7.21
gene_611	11.62	19.18	5.09	2.54	8.15	4.57	5.01	6.58	4.4	31.19	28.67	30.98	5.81	6.2	4.34
gene_612	27.66	34.09	26.9	20.83	48.23	22.36	27.87	28.52	12.9	45.83	50.52	51.36	15.77	14.72	11.47
gene_613	72.89	73.32	96.28	230.51	670.21	184.57	240.35	223.04	84.27	79.22	80.58	87.47	28.57	35.17	24.21
gene_614	41.15	40.55	43.08	97.4	185.2	58.31	403.57	412.72	38.26	57.64	51.28	60.73	16.99	17.95	13.19
gene_615	68.43	60.78	63.47	123.47	200.88	100.21	120.6	101.38	47.42	132.1	151.02	143.89	39.35	46.49	31.92
gene_616	27.57	45.12	14.1	10.94	11.85	8.7	23.53	17.78	3.31	57.15	58.48	63.68	12.37	17.85	6.97
gene_617	73.13	89.86	67.22	44.2	2.55	33.77	55.52	54.99	41.78	110.21	130.23	146.98	17.68	13.46	14.75
gene_618	29.56	40.59	18.54	24.69	27.42	21.8	39.25	30.41	12.54	59.01	61.67	69.41	12.16	16.96	6.87
gene_619	14.93	20.08	15.42	17.09	5.29	17.53	40.59	36.47	8.4	20.98	23.38	30.59	3.72	2.58	2.92
gene_620	16.4	20.18	12.11	6.83	15.43	10.52	8.96	10.31	5.53	34.21	28.43	35.5	8.54	8.52	6.95
gene_621	1081.78	920.19	1181.47	1700.82	4627.26	1625.98	3059.3	2288.45	859.3	1336.14	1265.38	1527.08	484.07	449.45	436.7
gene_622	45.62	55.69	43.49	33.69	92.58	28.16	89.9	100.02	15.02	40.47	36.03	35.95	13.39	12.55	15.5
gene_623	263.8	213.1	158.78	418.34	61.08	756.21	402.44	390.76	373.25	232.96	231.57	201.24	71.04	45.23	61.21
gene_624	67.81	63.95	67.31	61.83	160.18	74.87	136.43	133.22	24.19	99.53	109.47	110.85	38.79	35.67	33.55
gene_625	187.54	140.43	237.12	499.85	1033.89	423.71	772.21	780.04	254.54	281.15	270.37	279.95	111.6	121.63	110
gene_626	24.69	27.92	20.08	33.91	97.09	31.65	52.8	51.73	15.11	42.3	47.47	51.75	13.13	14.28	11.35
gene_627	147.63	154.95	160.35	224.6	69.19	169.12	155.68	138.08	89.68	248.45	299.14	312.02	70.23	78.64	48.15
gene_628	119.21	108.38	88.38	54.53	60.54	73.45	64.07	63.69	27.44	145.78	140.61	168.08	68.14	66.07	56.47
gene_629	46.41	86.37	36.42	38.12	23.92	39.12	70.59	72.91	15.25	84.13	94.62	106.33	17.56	22.62	11.34
gene_630	19.82	24.84	16.11	25.03	40.22	21.78	37.61	37.88	7.95	32.07	27.71	33.43	8.71	9.81	7.57
gene_631	49.48	39.8	64.07	173.94	60.13	143.03	231.31	231.89	73.44	77.25	80.76	82.33	14.92	17.06	19.25
gene_632	1.19	8.16	0.33	0	0.21	0.16	0	0	0.14	2.82	2.36	4.47	0.84	0.44	0.43
gene_633	59.98	48.19	78.93	85.6	208.79	87.74	100.25	103.46	54.78	70.2	70.42	63.47	36.81	35.99	39.27
gene_634	20.32	29.99	11.92	15.14	23.67	20.4	16.13	16.86	8.38	48.74	35.38	41.14	11.46	10.59	7.52
gene_635	3448.28	3108.75	4136.32	9286.67	20840.09	7766.95	9759.02	8542.24	7182.08	14188.34	14667.53	15553.48	1890.64	1933.73	1391.25
gene_636	52.29	54.26	59.03	49.32	106.83	45.93	24.03	23.77	28.66	55.3	55.04	59.6	26.11	31.38	23.46
gene_637	17.04	27.33	8.76	7.53	15.35	9.2	19.33	25.25	5.25	31.12	23.51	33.2	6.13	8.42	6.05
gene_638	20.74	28.06	16.28	2.53	2.49	10.05	2.32	0.93	1.91	42.46	41.39	58.52	12.91	9.74	18.05
gene_639	46.23	18.97	35.68	65.35	201.9	15.78	28.23	7.58	23.23	31.85	52.39	50.68	26.76	24.41	33.8
gene_640	136.5	138.27	77.69	116.68	17.08	142.04	144.63	150.73	66.03	129.59	131.89	132.51	24.15	13.73	26.97
gene_641	29.09	42.6	19.75	18.43	41.59	22.85	24.28	21.7	10.4	43.27	36.48	43.07	15.83	12.96	10.8
gene_642	33.28	32.84	26.43	59.38	119.88	64.73	57.92	52.56	29.46	74.76	80.08	80.22	17.26	15.2	14.3
gene_643	44.5	44.76	28.17	45.93	126.74	33.76	53.25	53.21	14.47	72.44	78.74	83.64	26.19	20.97	14.87
gene_644	0.98	1.49	2.72	3.16	24.24	3.25	1.66	3.12	0.45	0.97	1.1	1.93	0.92	0	0.46
gene_645	22.13	22.12	20.39	31.91	69.63	28.23	37	30.36	13.86	34.1	37.1	36.38	9.56	8.75	8.75
gene_646	25.45	29.34	18.21	25.81	32.19	25.23	26.96	23.38	10.92	47.06	46.73	49.47	10.76	11.37	7.45
gene_647	11.01	18.34	5.72	6.13	2.13	6.64	10.19	11.16	4.09	22.13	19.88	23.28	4.43	4.09	2.84
gene_648	70.44	62.8	71.86	151.26	91.32	113.09	173.74	174.13	66.93	111.98	121.52	125.16	30.53	30.68	24.84
gene_649	361.26	389.5	231.83	791.37	675.04	589.26	912.45	780.82	338.49	780.52	953.51	1086.68	233.14	193.46	166.39
gene_650	90.65	97.79	110.42	186.38	403.01	158.27	183.33	182.37	93.98	144.41	130.45	142.39	58.86	50.08	44.22
gene_651	22.73	42.97	11.7	10.03	10.13	11.31	17.69	21.06	4.76	48.09	46.79	52.62	11.89	8.8	8.91
gene_652	259.05	194.37	326.68	655.18	840.81	581.24	889.66	892.67	284.33	879.23	964.41	1157.57	72.73	78.66	59.91
gene_653	74.74	92.09	40.26	80.05	7.98	91.61	103.89	102.99	33.65	113.94	113.39	127.14	26.96	16.36	22.56
gene_654	274.96	203.54	349.01	628.66	1227.77	617.06	571.53	539.48	516.1	367.13	351.56	309.34	343.86	374.03	321.75
gene_655	515.2	452.47	603.84	664.01	872.27	445.04	1073.05	860.15	608.09	432.44	447.57	445.09	250.39	276.73	189.54
gene_656	10.24	11.91	10.21	15.14	8.03	11.96	18.33	17.22	5.28	20.11	19.23	18.98	5.83	4.49	3.58
gene_657	97.08	101.41	85.11	172.21	486	128.54	390.26	342.89	45.16	140.67	150.14	168.38	32.77	37.69	26.02
gene_658	13.28	12.97	8.32	13.87	13.77	13.41	19.64	14.78	2.79	26.29	25.54	24.1	3.65	4.83	3.97
gene_659	200.86	165.18	229.71	1396.15	1796.73	1189.5	1045.66	998.25	565.32	416.7	454.9	449.87	61.24	63.85	49.67
gene_660	28.96	27.78	34.28	47.31	62.35	36.81	69.02	74.34	10.63	43.23	45.73	55	10.56	13.56	13.15
gene_661	54.75	68.95	43.98	41.53	9.65	32.06	250.71	271.64	9.2	79.2	82.85	117.38	13.43	11.67	14.54
gene_662	32.31	33.14	29.57	30.4	32.56	38.27	87.55	77.97	16.01	45.86	53.57	48.79	13.69	11.54	8.91
gene_663	25.59	21.77	22.82	54.46	50.28	64.99	100.83	111.18	36.2	42.37	38.01	36.57	16.6	17.04	18.95
gene_664	135.2	97.66	181.63	173	341	175.94	84.38	96.18	100.78	1092.73	1175.81	943.72	707.81	838.76	738.37
gene_665	48.91	45.35	48.29	84.83	46.79	75.03	192.23	175.84	32.24	68.66	73.21	80.24	19.45	19.33	20.35
gene_666	30.49	50.98	19.21	27.45	5.47	27.41	59.66	64.35	11.32	50.88	41.75	50.25	11.4	11.78	9.37
gene_667	17.17	26.83	7.82	7.12	12.59	9.05	11.52	7.62	5.47	36.88	39.07	42.58	10.49	6.31	4.62
gene_668	58.59	70.55	57.55	70.35	40.34	62.88	137.58	145.04	28.66	93.38	89.1	102.04	34.25	33.84	30.1
gene_669	24.59	30.87	19.39	27.13	20.1	16.81	34.38	31.49	11.59	49.2	48.71	52.71	13.55	13.15	8.97
gene_670	171.39	133.68	217.66	1412.98	2868.53	989.67	1904.38	1798.4	318.66	677.8	669.41	686.13	84.45	92.95	81.03
gene_671	31.02	39.7	20.92	29.25	18.85	20.67	70.66	60.64	11.32	58.32	50.2	64.58	13.57	11.64	8.85
gene_672	36.4	31.52	37.46	56.54	35.58	56.32	46.62	44.05	23.39	49.91	47.88	51.69	12.93	10.48	11.49
gene_673	32.88	36.08	33.4	43.02	80.91	43.63	65.88	52.21	14.2	66.22	64.08	68.85	21.24	19.13	17.97
gene_674	3.13	2.98	1.74	0.85	6.67	0.87	6.21	5.83	0.73	1.56	1.77	3.72	0.74	1.53	2.23
gene_675	27.86	26.88	18.5	51.89	29.02	72.64	46.05	41.35	38.44	30.97	28.21	24.16	11.71	10.46	6.2
gene_676	307.36	231.81	337.36	806.61	707.17	498.18	856.31	830.23	612.46	252.68	291.37	308.26	131.18	142.18	126.8
gene_677	36.06	42.42	26.33	43.19	114.87	44.96	51.04	42.76	24.24	52.92	56.13	55.43	26.47	27.84	20.32
gene_678	25.58	29.01	18.86	26.78	48.02	24.58	45.23	44.83	15.22	42.5	43.14	44.48	10.61	12.04	11.49
gene_679	122.09	96.68	129.28	513.89	289.6	248.2	305.48	265.85	324.29	223.05	277.47	270.56	56.6	58.01	39.11
gene_680	15.22	20.66	12.78	16	9.18	12.72	19.63	21.31	6.61	34.23	35.92	46.71	6.66	7.56	5.55
gene_681	71.12	68.33	14.87	35.24	2.1	78.89	68.91	108.89	57.38	88.48	73.04	83.87	14.63	7.99	8.45
gene_682	74.71	81.04	68.66	142.77	353.54	100.49	158.27	162.76	49.75	136.78	166.21	153.83	37.64	36.86	18.49
gene_683	24.15	27.76	24.39	38.07	61.54	40.24	81.71	97.04	14.94	38.24	44.6	44.14	10.91	11.25	8.87
gene_684	12.42	18.18	8.01	39.9	10.2	40.94	38.54	37.58	31.7	41.29	44.05	37.24	7.07	4.8	3.42
gene_685	29.44	47.91	18.76	22.49	4.2	18.91	48.22	45.52	11.88	51.7	52.81	62.72	11.86	11.7	9.18
gene_686	0	4.12	0	0	0	0	0	0	0	10.77	6.13	0	0	5.3	5.14
gene_687	21.9	21.67	16.49	29.9	64.34	31.74	22.22	25.16	18.1	40.91	38.75	36.8	9.03	7.54	5.66
gene_688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_689	36.23	43.29	30.13	53.25	83.32	38.99	49.36	50.05	16.07	56.17	57.31	63.04	14.62	16.64	14.89
gene_690	58.2	62.26	62.64	137.03	335.73	106.1	78.59	73.18	61.02	104.09	114.28	99.9	28.45	34.18	22.87
gene_691	28.18	31.15	35.9	4.69	3.07	13.05	3.86	2.97	6.65	70.26	84.21	84.56	21.54	19.12	32.67
gene_692	67.05	53.5	62.48	139.64	147.07	91.17	245.32	199.58	44.77	98.43	113.86	111.61	22	22.17	21.31
gene_693	2512	2150.71	2445.39	4891.87	4966.04	3350.53	8036.22	7485	1267.55	4300.96	4503.55	5531	661.32	746.62	496.91
gene_694	18.11	26.31	10.88	18.24	4.39	16.14	38.28	33.8	7.66	30.97	36.67	31.25	5.82	9.71	5
gene_695	48.66	56.97	48.45	45.76	98.11	40.33	56.15	52.2	21.13	89.44	94.83	97.53	29.43	27.92	22.86
