	L1	L2	L3	M1	M2	M3	Q1	Q2	Q3	T1	T2	T3	X1	X2	X3
gene_0	33.92	45.94	17.05	15.06	7.09	15.45	27.31	29.99	11.73	56.21	60.57	65.81	15.8	13.21	10.08
gene_1	63.14	73.65	51.73	110.15	52.43	83.96	128.79	133.14	42.62	88.02	92.39	104.44	30.97	37.29	27.15
gene_2	50.06	49.54	47.48	47.54	85.19	30.38	149.01	153.18	17.03	63.04	65.2	64.59	17.95	19.8	9.99
gene_3	61.89	71.71	58.64	115.91	43.44	88.76	136.8	155.98	28.56	100.19	106.88	119.89	25.59	28.68	27.59
gene_4	60.42	63.65	52.77	73.14	83.04	67.61	86.63	82.37	40.4	110.53	115.13	117.23	27.11	26.08	19.92
gene_5	23.29	15.53	12.17	22.82	53.72	20.99	14.03	14.73	24.45	33.32	23.92	28.24	9.58	8.56	2.07
gene_6	29.53	40.93	22.72	24.14	34.81	15.7	101.58	111.77	8.99	55.02	53.1	59.7	11.59	9.93	9.63
gene_7	93.31	101.91	68.07	103.73	162.66	83.87	103.7	105.05	45.29	137.12	129.51	139.93	62.71	59.86	39.88
gene_8	105.64	84.33	102.91	119.05	101.45	101.83	112.07	112.68	84.27	221.72	240.37	233.34	52.8	56.2	43.55
gene_9	47.66	49.57	22.82	14.54	21.09	17.41	40.38	48.66	6.8	72.26	67.35	87.88	16.87	17.59	7.73
gene_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_11	80.4	70.06	90.44	118.72	244.74	105.58	112.98	98.94	80.47	163.93	175.08	155.16	42.2	49.92	33
gene_12	198.47	139.99	282.77	536.69	734.96	514.91	598.01	672.12	380.21	307.57	234.32	239.32	186.85	176.99	197.17
gene_13	40.5	38.88	40.23	51.37	53.24	40.82	70.43	78.46	15.38	58.69	56.92	62.71	18.24	18.39	20.39
gene_14	24.87	22.87	23.87	16.15	23.59	15.71	29.22	31.72	6.97	37.29	37.03	34.61	14.58	14.44	11.98
gene_15	19.74	20.63	17.51	43.36	98.8	34.95	39.96	34.35	23.07	45.94	41.01	38.14	13.77	17.68	10.99
gene_16	22.82	36.37	0	2.25	0	6.9	21.18	19.88	1.94	11.36	18.81	14.78	2.92	1.01	5.92
gene_17	31.94	30.2	27.82	58.89	38	54.48	53.14	51.63	24.61	47.42	49.14	49.48	13.7	14.38	11.93
gene_18	58.17	67.8	56.2	212.88	200.84	205.69	307.87	290.24	67.96	104.41	104.46	118.34	18.46	15.01	11.69
gene_19	17.37	22.55	8.61	13.21	3.42	20.69	20.43	21.41	8.25	29.45	30.25	35.13	8.77	6.62	9.47
gene_20	15.32	29.59	7.83	8.16	15.1	8.5	10.86	8.73	4.86	32.29	30.14	35.54	9.1	9.6	3.94
gene_21	22.83	27.34	15.76	17.43	23.02	17.88	19.72	16.4	8.53	38.59	38.6	41.52	10.82	10.57	7.66
gene_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_23	16.53	22.88	7.34	6.93	17.24	3.37	4.4	3.95	2.2	38.11	34.78	34.18	9.2	10.41	4.97
gene_24	42.63	44.66	29.96	43.38	126.68	36.22	71.64	64.31	39.58	68.18	74.72	74.72	29.96	32.15	21.48
gene_25	32.29	32.16	12.88	54.53	8.37	48.11	128.07	131.81	18.7	35.2	40.07	41.06	10.42	4.39	5.15
gene_26	14.84	18.1	5.94	3.46	4.97	4.65	3.8	3.24	2.2	26.06	30.97	31.4	6.87	6.56	2.82
gene_27	17.55	24.76	8.53	11.97	28.87	14.27	16.54	16.87	6.47	35.47	34.07	38.54	7.28	10.94	5.73
gene_28	187.78	142.78	258.34	377.2	952.96	303.13	644.35	606.32	344.02	196.3	203.43	185.1	173.36	198.71	179.33
gene_29	34.57	52.7	16.14	19.39	6.14	29.96	26.71	29.69	13.91	38.71	38.94	43.62	11.18	7.21	9.65
gene_30	54.79	48	53.48	122.6	273.91	89.17	99.29	84.57	49.58	68.31	69.99	71.78	21.91	22.09	18.86
gene_31	102.39	101.57	103.42	27.09	45.23	39.94	19.2	17.32	20.44	127.68	137.1	151.08	68.98	75.82	74.61
gene_32	48.85	57.24	50	60.49	149.32	55.34	47.35	44.19	46.43	53.64	54.2	55.66	23.7	22.3	14.49
gene_33	24.94	57.6	8.4	10.81	10.69	10.82	6.72	6.31	5.18	52.84	46.6	61.68	10.68	11.02	5.16
gene_34	116.5	104.38	123.85	123	109.24	138.72	87.12	100.7	152.74	139.89	130.14	119.72	88.77	66.17	87.72
gene_35	50.26	67.5	26.69	42.26	9.06	51.33	174.66	280.41	82.63	71.47	73.24	70.74	15.01	10.95	16.68
gene_36	30.65	34.56	26.3	39.88	74.13	32.58	41.85	36.47	14.56	55.63	52.22	52.54	17.26	15.75	12.56
gene_37	54.62	72.45	42.15	34.06	31.31	49.52	53.61	65.44	16.66	81.02	82.72	120.57	37.04	35.01	33.95
gene_38	84.47	101.69	79.36	81.14	217.75	77.8	108.84	100.77	41.91	89.87	90.99	97.47	32.98	31.02	25.11
gene_39	6.31	7.56	2.01	8.78	1.28	6.01	6.14	5.76	3.37	9.88	22.49	17.85	4.24	1.77	4.29
gene_40	269.24	185.22	389.85	2892.48	7892.86	2158.24	2412.07	2021.32	1167.12	1085.9	1131.97	1149.56	182.5	188.3	165.05
gene_41	46.06	52.62	50.01	103.9	98.59	86.97	210.01	216.37	61.27	84.18	81.68	86.82	27.25	27.86	27.17
gene_42	72.63	59.99	75.89	91.75	269.91	103.2	108.65	105.86	86.55	103.94	92.1	95.08	63.56	64.23	52.79
gene_43	28.52	36.96	30.93	24.67	37.18	28.19	95.59	85.33	9.92	47.49	50.84	44.75	10	12.46	5.67
gene_44	74.98	77.46	92.09	290.06	468.39	205.82	335.66	298.77	120.4	139.98	129.18	148.25	51.36	52.8	50.11
gene_45	52.08	41.96	54.31	114.28	207.56	96.75	263.79	271.36	45.41	87.3	78.93	84.74	24.6	22.68	22.82
gene_46	60.27	55.51	61.35	167.24	394.58	134.86	189.3	172.83	79.32	91.18	98.47	94.72	34.04	36.93	23.73
gene_47	48.29	53.32	54.16	231.06	730.43	222.65	163.01	125.83	119.62	95.26	84.59	88.22	22.34	21.79	17.4
gene_48	805.48	558.67	1034.67	1749.8	220.16	1521.92	1254.86	1296.55	1279.24	1293.09	1216.07	1351.07	641.1	620.76	580.5
gene_49	30.18	40.66	25.23	23.88	45.88	20.92	20.78	14.92	7.04	50.94	58.62	44.79	13.68	15.32	12.29
gene_50	63.39	125.61	5.14	1.24	8.18	0	2.61	20.86	4.3	87.17	100.57	114.05	20.59	3.39	4.38
gene_51	317.6	243.63	411.72	253.6	868.36	386.61	273.73	234	117.5	382.1	422.82	417.73	238.21	246.35	294.37
gene_52	38.59	36.04	44.1	73	30.13	78.13	113.81	174.69	59.42	87.38	65.6	77.15	12.71	17.98	13.75
gene_53	283.96	248.06	334.4	208.79	554.1	211.99	200.57	166.97	73.62	316.46	422.76	419.71	222.9	241.72	225.29
gene_54	51.62	139.73	32.27	40.15	97.23	34.25	59.64	46.76	14.85	66.74	78.72	94.33	39.47	43.04	16.51
gene_55	37.83	43.86	35.2	41.93	78.46	38.37	46.93	40.63	17.8	63.17	71.08	72.34	15.4	18.38	8.6
gene_56	222.77	155.12	343	2202.11	5572.4	2051.26	2205.38	2107.41	704.59	1091.05	1121.12	1114.37	128.67	125.88	140.98
gene_57	166.52	129.81	222.77	722.11	1509.57	571	632.55	633.17	193.35	381.58	396.6	391.76	120.86	133.1	124.53
gene_58	18.32	24.84	11.67	15.14	41.98	14.81	39.64	37.77	8.42	32.3	34.11	36.57	9.23	11.55	4.85
gene_59	48.77	65.6	43.79	61.78	91.78	47.73	54.32	43.25	38.92	68.53	58.77	62.72	28.64	26.83	22.65
gene_60	95.82	90.67	128.29	1122.63	2431.56	1299.7	439.11	464.09	2208.71	813.76	792.78	696.45	35.78	32.14	17.21
gene_61	16.48	19.06	12.99	15.05	16.54	20.49	31.59	43.28	7.43	23.76	25.12	23.62	9.08	4.74	8.37
gene_62	22.46	18.33	11.49	17.14	49.14	17	18.28	23.64	16.28	27.88	30.85	27.82	7.2	10.88	8.04
gene_63	19.18	32.13	11.42	12.69	13.37	12.1	14.81	14.08	5.86	43.43	39.15	48.16	9.01	9.72	3.14
gene_64	32.62	63.25	8.61	13.3	4.06	21.58	17.85	16.46	10.95	46.14	52.53	74.53	10.49	15.15	9.25
gene_65	17.92	29.22	16.47	11.12	31.33	10.31	20.14	21.74	5.73	36.01	43.25	42.3	14.36	13.18	6.78
gene_66	35.83	37.97	34.04	38.33	68.6	38.36	34.93	29.6	32.35	60.23	60.65	60.48	16.03	16.43	12.29
gene_67	117.1	87.52	170.68	195.98	588.12	212.26	280.46	292.41	71.33	199.44	204.28	208.89	75.69	76.88	93.46
gene_68	45.45	49.58	55.32	132.51	404.21	108.45	104.99	106.36	44.35	76.36	77.26	73.45	22.54	26.98	19.03
gene_69	38.85	48.24	33.12	35.92	38.18	27.88	37.69	27.52	12.79	78.04	80.48	88.1	16.53	17.23	12.03
gene_70	55.88	61.31	47.83	97.78	210.1	77.01	102.76	85.37	34.63	72.89	88.92	77.64	27.07	25.59	16.36
gene_71	33.33	34.68	39.93	67.71	81.26	53.54	122.82	110.03	16.91	49.42	54.7	53.76	15.09	17.35	14.98
gene_72	36.7	83.27	14.09	11.81	7.49	13.48	10.44	8.11	8.25	78.92	87.49	94.16	16.16	23.59	8.99
gene_73	359.82	244.97	496.79	920.81	1462.39	884.09	816.5	865.83	328.08	878.26	945.3	864.38	157.92	164.57	151.99
gene_74	58.4	67.24	65.79	337.46	309.97	326.98	333.4	315.53	120.68	238.31	224.6	250.43	12.81	16.82	13.53
gene_75	40.22	41.88	34.82	34.98	70.23	35.31	39.66	40.08	16.9	51.36	50.71	55.56	15.16	15.6	12.66
gene_76	29.04	18.23	31.29	93.12	344.31	86.35	158.06	161.15	43.49	42.75	41.49	48.5	7.58	12.92	12.06
gene_77	43.32	33.98	48.63	63.45	163.21	59.32	75.03	78.69	40.61	78.06	76.61	76.18	34.01	37.92	35.85
gene_78	196.83	159.61	175.22	341.88	394.36	250.67	339.23	291.12	119.55	239.74	278.92	264.69	101.44	113.41	75.27
gene_79	111.66	104.72	99.19	152.58	195.17	126.71	662.8	659.18	50.12	181.55	179.67	194.93	50.51	45.63	40.78
gene_80	17.64	16.64	10.67	14.89	14.54	20.12	20.77	23.79	7.21	33.93	26.84	33.51	10.27	10.05	8.62
gene_81	25.15	25.11	21.44	21.34	48.18	18.41	62.32	64.94	17.13	42.42	45.45	45.78	17.61	17.13	12.66
gene_82	50.85	51.59	50.62	94.56	161.85	61.27	404.16	390.61	25.22	92.97	94.84	102.66	23.41	27.08	19.04
gene_83	100.27	91.08	119.07	129.89	168.97	100.68	75.59	71.62	64.34	97.8	101.44	99.82	36.57	41.84	30.69
gene_84	60.09	53.83	74.89	193.98	407.53	189.92	407.46	364.02	102	208.1	200.38	208.67	40.41	44.71	30.98
gene_85	33.65	39.24	28.28	42.06	32.95	34.93	107.16	112.98	21.26	48.14	42.14	53.95	12.33	13.59	9.4
gene_86	53.83	85.89	9.38	7.27	28.65	7.46	1.91	1.79	9.41	65.28	110.56	102.53	22.14	18.14	11.19
gene_87	79.12	86.78	144.14	159.57	351.94	125.21	86.45	78.1	91.83	1493.25	1448.76	1170.95	464.54	515.54	413.6
gene_88	55.52	50.64	61.03	40.82	125.03	42.46	31.24	21.77	16.49	49.39	50.65	50.33	28.02	31.5	27.33
gene_89	17.88	35.72	8.42	13.32	22.92	9.05	7.28	4.25	3.24	50.45	45.25	51.61	10.69	10.29	4.12
gene_90	15.92	27.95	4.57	14.6	1.37	13.11	23.53	27.75	8.55	31.93	32.8	32.46	9.3	7.33	2.52
gene_91	45.9	46.43	77.74	115.45	239.3	98.89	257.31	194.61	37.89	85.22	103.03	81.06	28.22	20.77	13.42
gene_92	71	82.4	57	110.85	24.47	80.37	245.23	280.06	37.62	107.88	138.73	157.75	29.67	23.77	28.61
gene_93	39.7	31.62	36.88	74.81	210.92	64.46	148.47	153.9	27.7	59.27	66.47	65.97	18.5	12.62	17.17
gene_94	250.58	219.65	327.34	356.81	897.28	327.69	244.2	192.86	160.25	333.61	350.56	331.39	74.61	81.61	71.56
gene_95	61.54	44.58	75.63	107.44	91.67	106	106.94	103.66	39.45	75.73	74.54	76.58	31.53	28.14	34.76
gene_96	1395.34	1036.19	1723.56	912.77	523.33	836.63	424.22	392.37	545.46	1041.94	1178.23	1083.88	351.71	407.37	381.3
gene_97	10.79	19.01	13.9	15.81	21.44	18.62	43.79	51.85	9.18	21.72	17.94	20.69	9.25	5.88	7.75
gene_98	0	0.03	0	0	0.18	0	0	0	0	0	0	0	0.12	0	0
gene_99	21.62	27.83	14.13	22.02	45.13	17.08	24.24	20.37	6.03	31.9	37.44	33.04	8.18	11.2	8.27
gene_100	53.48	60.44	34.26	87.37	66.74	91.7	92.72	89.69	43.02	106.44	119.46	128.71	19.65	13.86	7.59
gene_101	34.73	28.43	31.44	65	179.64	47.7	108.79	96.44	24.47	55.79	58.77	55.73	15.13	16.45	14.51
gene_102	17.79	25.89	11.68	6.68	2	12.06	9.52	10.23	4.82	35.28	37.43	37.84	9.4	9.48	6.7
gene_103	50.13	80.37	7.71	11.21	24.53	0	7.84	0	4.84	73.98	115.58	108.11	27.64	32.2	3.28
gene_104	137.6	86.45	181.69	327.15	647.32	240.35	692.31	622.12	124.77	207.65	205.65	201.09	72.41	75.79	90.22
gene_105	63.34	55.59	50.43	115.84	204.02	81.67	97.43	74.93	34.02	84.21	94.3	88.54	33.63	33.46	26.55
gene_106	33.08	27.35	30.04	38.5	90.12	30.78	94.87	80.7	14.94	32.66	35.98	40.76	8.03	7.85	5.45
gene_107	82.13	72.07	102.89	144.3	293.63	136.49	127.09	134.96	76.64	183.99	178.79	194.61	49.9	49.25	48.29
gene_108	26.46	41.24	22.12	37.04	22.19	29.35	77.07	68.52	9.54	41.29	47.01	40.94	11.88	14.74	9.14
gene_109	749.77	649.56	1095.46	1619.03	3414.78	1400.27	1285.91	1331.93	519.45	1599.87	1690.19	1701.89	233.69	268.96	308.64
gene_110	49.04	35.61	39.75	45.25	94.43	40.96	101.4	93.15	20.3	59.37	60.91	69.84	21.93	20.3	20.18
gene_111	36.95	36.57	56.37	85.48	16.57	63.28	91.17	98.04	33.87	63.87	60.24	56.96	20.73	17.16	21.56
gene_112	20.11	20.44	22.82	21.74	42.17	25.32	27.54	38.98	10.48	32.82	32.24	39.3	6.48	7.1	6.03
gene_113	83.5	89.73	73.43	152.48	6.62	121.37	201.76	220.94	66.78	117.69	126.35	123.58	53.64	52.88	50.77
gene_114	28.3	21.3	20.51	19.14	67.01	17.91	28.75	24.04	11.82	38.18	43.47	42.6	12.08	16.85	11.05
gene_115	28.73	58.99	1.78	4.31	1.13	30.97	84.16	96.87	13.4	25.41	25.32	34.74	6.75	3.13	3.03
gene_116	56.09	50.76	75.47	152.39	148.38	135.33	217.48	236.49	84.17	80.14	73.46	72.93	41.07	41.61	39.05
gene_117	57.58	67.85	81.3	70.4	175.23	81.44	108.37	115.96	112.85	142.89	135.92	134.37	35.7	35.01	43.26
gene_118	19.89	32.59	7.08	8.7	9.01	8.46	11.52	9.02	1.19	34.97	35.98	42.23	3.98	6.23	1.21
gene_119	411.5	381.41	460.65	725.77	333.68	647.7	559.24	571.13	425.83	490.74	483.28	544.5	135.89	117.88	125.01
gene_120	2.01	6.76	0.9	0	1.71	3.13	2.28	1.72	3.39	10.42	5.02	6.06	0.38	0.39	1.15
gene_121	1365.66	1078.71	657.32	2156.89	69.68	3409.01	1326.79	1144.99	2036.77	738.82	1030.05	664.61	234.55	155.57	135.74
gene_122	131.86	105.76	161.93	549.73	966.26	460	503.91	479.23	262.72	227.31	241.15	267.19	74.06	82.54	97.78
gene_123	6.38	19.27	0.28	0.53	1.05	3.27	2.5	1.31	1.83	16.37	13.63	20.99	2.54	1.45	0.7
gene_124	39.52	54.82	22.11	33.23	28.8	32.59	80.2	78.86	16.25	64.05	65.21	75.04	15.66	17.66	10.36
gene_125	523.08	360.1	640.75	877.79	2287.32	492.44	2946.38	2673.1	187.1	308.88	299.16	362.26	46.47	47.25	56.25
gene_126	36.9	35.28	35.09	39.78	106.09	43.13	49.54	43.19	22.86	60.9	64.14	60.08	22.45	22.89	22.49
gene_127	20.9	29.43	10.22	9.91	18.7	8.56	13.54	14.8	4.99	46.52	51.21	49.56	12.59	11.71	7.14
gene_128	25.42	26.92	22.09	25.23	35.07	26.9	33.42	31.59	8.82	37.07	38.03	37.93	12.59	12.78	8.89
gene_129	15.17	19.38	20.39	20.74	2.54	15.34	19.23	19.96	8.32	43.95	35.39	48.74	5.04	3.5	9.33
gene_130	30.38	34.73	21.74	21.56	16.74	25.65	28.03	28.73	8.04	47.61	50.36	49.18	17.27	15.34	12.07
gene_131	16.21	21.52	6.61	6.4	7.92	5.41	8.3	9.1	3.74	34.53	42.67	42.23	10.33	8.89	4.14
gene_132	45.75	38.62	45.21	54.62	118.15	46.46	65.46	53.82	27.05	33.88	40.99	35.58	19.26	22.42	15.92
gene_133	14.06	24.48	3.73	3.61	0	3.71	3.8	4.99	3.12	37.29	47.01	56.15	10.7	6.56	1.91
gene_134	30.81	45.57	23.4	22.95	42.68	19.61	35.5	31.9	22.11	54.36	55.78	55.1	17.55	18.17	10.62
gene_135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_136	41.49	34.82	47.7	79.69	91.51	65.74	112.15	113.62	28.6	52.08	56.02	58.48	16.72	18	20.47
gene_137	501.52	361.81	492.47	1540.58	100.45	1234.37	1536.28	1564.74	457.71	1135.54	1273.59	1323.44	57.37	75.37	70.75
gene_138	31.35	28.11	12.34	12.96	14.4	16.36	14.64	16.69	9.46	41.29	54.33	57.66	15.6	14.46	3.5
gene_139	71.19	66.77	50.41	131.95	40.25	84.75	187.04	133.83	58.35	146.75	189.08	191.28	42.66	41.7	33.19
gene_140	13.88	27.27	3.78	5.59	1.99	11.75	15.85	15.66	3.65	25.26	20.44	26.87	5.5	3.89	4.69
gene_141	32.97	44.38	17.3	2.5	5.74	9.53	2.87	3.77	3.84	60.89	75.3	74.09	18.53	16.98	21.81
gene_142	163.79	138.04	206.12	381.73	503.55	317.33	214.26	181.93	223.11	302.66	306.09	275.05	78.54	95.29	66.39
gene_143	26.12	70.27	6.85	0	10.9	3.41	5.23	3.28	2.87	56.59	109.71	65.69	17.34	22.6	2.92
gene_144	23.58	27.07	16.04	10.76	4.35	14.26	39.59	35.55	3.43	38.7	41.47	51.02	8.64	8.71	5.68
gene_145	91.53	91.54	95.35	205.74	342.99	151.37	237.97	221.52	70.97	211.17	229.52	242.45	48.09	44.06	28.36
gene_146	25.75	33.74	17.55	22.48	57.76	14.82	25.16	26.26	7.94	45.82	50.72	60.75	13.13	14.75	4.99
gene_147	28.39	27.82	32.17	23.09	25.24	24.91	27.77	21.59	35.51	85.38	97.56	101	7.48	6.27	7.26
gene_148	127.07	82.69	140.7	403.99	730.28	384.32	353.42	347.03	238.91	275.92	292.52	265.37	47.17	51.06	38.61
gene_149	44.05	55.38	44.32	138.29	151.76	105.01	71.1	62.19	77.08	74.04	71.15	76.69	19.16	18.81	12.6
gene_150	115.34	109.14	111.51	221.91	202.08	197.02	412.51	379.59	93.71	151.65	168.42	174.11	35.7	29.91	30.7
gene_151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_152	26.54	35.11	19.21	12.54	39.18	13.65	18.14	17.79	7.71	42.86	45.62	43.98	9.59	10.86	6.19
gene_153	82.37	79.91	67.47	127.75	57.73	94.51	95.03	77.16	71.76	82.59	102.06	98.53	19.6	20.44	16.74
gene_154	104.64	83.71	131.88	350.11	845.18	284.26	434.24	424.04	192.46	185.42	192.75	181.42	48.27	47.37	48.42
gene_155	431.1	407.47	570.99	333.51	226.06	302.03	168.76	144.75	216.25	417.2	432.88	448.5	160.99	174.39	164.54
gene_156	19.24	32.51	9.82	6.02	3.95	6.68	7.36	3.21	3.46	40.14	41.24	49.73	10.25	10.22	1.98
gene_157	60.81	68.44	42.45	46.07	129.06	40.98	70.27	68.4	18.56	79.19	88.23	103.03	24.05	25.63	14.04
gene_158	92.51	236.63	64.33	85.82	172.94	74.58	103.85	100.06	42.5	143.58	120.24	193.48	85.87	92.34	57.79
gene_159	121.91	121.01	162.97	171.21	197.79	122.22	122.63	143.48	70.14	145.25	151.42	144.52	33.85	35.53	28.19
gene_160	760.3	506.35	1023.71	3886.46	9777.89	2939.07	7568.26	6972.5	698.21	1195.99	1442.78	1529.85	244.43	243.07	220.92
gene_161	195.04	166.17	254.93	252.15	299.28	237.06	332.55	339.95	138.53	222.28	234.72	235.07	143.35	154.52	149.81
gene_162	676.55	474.16	961.6	4545.48	9361.85	3747.87	9705.53	10854.45	1637.56	735.05	641.4	913.86	56.08	56.86	95.45
gene_163	30.95	40.05	10.05	8.83	9.65	7.36	11.38	9.6	5.24	48.23	43.93	48.73	12.31	12.67	4.69
gene_164	9.58	19.95	6.05	1.04	2.26	3.54	3.26	1.7	0.89	27.31	28.57	26.53	4.2	9.7	3.64
gene_165	43.77	48.77	31.64	52.65	16.39	45.35	77.74	68.14	22.11	57.93	62.55	75.5	15.26	14.74	13.15
gene_166	62.34	43.28	89.83	274.19	598.88	262.27	263.37	302.52	90.09	127.15	127.6	133.72	20.9	24.27	24.38
gene_167	21.53	23.61	17.59	25.68	40.36	18.47	24.19	23.55	11.27	41.19	50.88	52.74	9.25	11.56	6.02
gene_168	210.88	173.42	213.89	328.21	813.53	277.86	2746.1	2565.1	146.46	258.01	255.15	305.64	73.06	82.39	42.95
gene_169	13.49	18.9	9.38	13.8	15.03	9.98	7.9	7.88	5.69	32.78	33.54	31.24	4.64	5.4	4.55
gene_170	16.59	43.88	9.25	12.33	3.68	6.9	4.12	4.42	7.74	30.45	35.26	39	5.36	7.12	3.94
gene_171	50.27	36.01	51.77	69.94	93.42	57.22	164.07	159.87	26.09	80.68	84.08	85.99	21.64	18.6	21.97
gene_172	30.8	64.05	8.88	3.97	1.66	4.14	3.29	2.85	2.96	60.3	58.12	73.23	13.62	17.25	4.13
gene_173	29.5	63.25	13.9	12.44	6.47	17.03	17.95	25.54	6.71	51.32	52.45	70.43	13.31	12.46	8.21
gene_174	0	0	0	0	0	0	0	0	0	0	0	1.35	0	0	0
gene_175	26.71	29.44	25.52	23.72	5.41	29.62	56.25	77.71	16.47	50.79	40.53	44.17	9.86	8.89	16.32
gene_176	26.4	34.92	20.09	26.73	96.16	30.06	44.52	38.39	18.51	45.46	46.86	52.97	14.97	17.8	8.9
gene_177	47.19	38.48	52.73	103.24	200.28	72.69	187.07	174.44	40.63	86.44	82.15	85.54	25.94	28.72	23.07
gene_178	39.59	52.09	33.1	24.48	26.75	26.02	43.83	38.99	12.52	62.07	64.23	69.23	13.26	18.08	10.95
gene_179	42.94	42.53	34.33	68.75	208.05	49.87	103.63	83.14	19.96	59.99	78.63	72.1	24.88	26.36	16.62
gene_180	0.72	2.01	0	0	0	0	0.27	0.25	0.22	0.95	0.54	0.76	0	0.7	0
gene_181	69.53	53.88	100.26	154.83	62.18	156.82	161.94	174.03	73.97	145.56	143.41	121.47	35.53	37.72	43.62
gene_182	28.69	29.26	24.96	30.82	82.97	26.02	35.77	31.98	12.18	40.5	43.6	47.97	12.78	13.67	8.45
gene_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_184	117.75	73.79	129.51	147.78	362.85	156.46	635.49	795.37	64.15	97.53	91.34	99.78	26.01	24.41	31.17
gene_185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_186	126.57	108.08	125.29	554.61	1581.72	857.45	585.53	689.09	371.44	129.1	119.03	101.86	30.13	32.44	32.94
gene_187	14.35	21.17	7.84	5.78	14.57	9.59	6.86	5.77	5.58	29.74	30.28	30.4	6.54	7.79	3.21
gene_188	31.21	33.65	14	4.53	3.24	5.06	5.18	2.84	3.55	84.1	91.88	72.92	12.53	14.18	9.77
gene_189	46.18	65.38	38.31	33.73	35.59	31.01	79.18	76.18	18.26	59.33	55.5	62.48	22.39	22.1	18.35
gene_190	17.22	25.93	4.4	6.5	5.3	8.98	9.88	18.34	7.35	21.47	23.27	21.35	5.66	3.86	4.34
gene_191	129.66	115.95	48.18	31.76	103.05	82.45	56.86	88.37	16.13	201.3	254.67	280.55	50.39	64.4	23
gene_192	215.78	186.56	265.57	236.68	255.26	243.74	194.53	213.96	135.21	243.41	281.2	257.1	27.63	27.64	24.71
gene_193	36.58	39.26	33.92	54.86	80.48	47.17	77.41	76.52	31.48	55.26	56.26	59.94	19.31	18.71	15.58
gene_194	61.5	47.87	68.93	539.38	1679.28	437.26	816.95	943.53	168.05	170.02	146.95	165.25	21.88	21.38	24.74
gene_195	62.38	55.5	61.04	59.79	30.65	41.8	125	146.54	21.86	60.96	65.73	70.49	19.64	17.57	19.45
gene_196	5.64	8.9	1.35	2.17	0.86	1.34	4.11	2.36	1.88	10.02	9.13	12.28	2.28	1.78	1.15
gene_197	114.99	93.82	163.08	264.66	740.2	275.04	329.63	323.97	175.06	174.25	157.62	155.71	95.05	99.44	100.71
gene_198	25.96	28.87	20.14	25.75	51.66	19.89	35.97	28.08	7.12	51.41	51.11	54.25	12.08	11.42	9.16
gene_199	25.53	46.02	14.23	17.25	35.48	11.5	14.18	17.28	5.46	45.53	34.96	45.69	14.26	14.08	4.8
gene_200	135.16	114.85	163.03	222.03	224.7	260.87	232.69	256.04	198.55	178.85	162.25	159.49	142.89	146.23	141.41
gene_201	45.03	48.33	52.18	104.28	293.23	90.73	90	80.11	48.07	86.28	75.97	76.37	34.89	41.92	31.5
gene_202	14.44	22.84	7.76	7.31	2.35	10.52	33.15	34.09	6.58	22.95	20.4	24.56	4.99	5	5.5
gene_203	1.94	2.96	1.73	5.87	37.98	6.45	2.64	4.95	1.81	2.32	2.64	3.07	0.73	0.76	1.47
gene_204	34.88	38.39	37.67	29.18	36.38	21.2	42.03	42.26	8.71	36.97	39.93	45.54	5.71	5.95	4.56
gene_205	25.67	27.48	15.73	16.7	47.4	16.9	23.56	17.81	7.55	43.15	43.82	45.41	13.82	12.63	8.86
gene_206	43.07	59.99	41.74	65.75	149.21	47.77	99.47	83.94	29.8	70.61	76.2	76.73	24.32	25.24	17.85
gene_207	72.43	71.46	78.66	47.89	58.22	64.22	53.97	42.94	22.09	101.95	108.11	120.43	57.75	49.87	47.01
gene_208	122.99	130.25	111.78	84.88	187.17	98.06	255.45	256.71	32.26	145.5	131.53	159.92	50.16	64.4	53.05
gene_209	176.12	138.04	264.8	682.56	1383.53	589.96	567.75	608.01	279.7	182.1	162.44	157.82	78.81	84	76.7
gene_210	19.13	17.73	14.99	41.08	24.58	26.95	84.44	87.83	13.51	30.74	34.42	32.23	4.49	4.94	5.04
gene_211	342.54	314.15	355.63	204.21	343.74	201.75	210.7	187.15	69.12	534.8	698.9	689.51	115.96	114.57	100.16
gene_212	59.35	46.79	58.91	72.44	110.68	66.25	78.51	73.45	32.83	80.73	91.25	91.9	33.24	30.38	25.67
gene_213	21.85	22.35	23.9	42.3	93.24	40.04	47.68	44.63	22.07	46.39	47.65	43.25	9.62	10.17	9.07
gene_214	52.08	47.77	76.76	209.44	216.12	149.8	240.29	251.02	140.85	106.31	95.03	98.53	34.87	43.27	54.12
gene_215	105.97	88.82	82.78	375.33	28.51	342.06	957.03	998.57	178.77	189.63	162.91	194.35	33.8	28.76	37.42
gene_216	1259.76	925.68	1356.13	1558.69	2184.63	1317.42	667.67	557.54	1136.53	2064.4	2468.85	2062.59	866.28	939.6	668.21
