gene	pathway
10014	hsa05034:K11406:[EC:3.5.1.98]
10014	hsa05165:K11406:[EC:3.5.1.98]
10014	hsa05169:K11406:[EC:3.5.1.98]
10014	hsa05203:K11406:[EC:3.5.1.98]
10015	hsa04144:K12200:
100169751	hsa03008:K01981:
100169751	hsa03010:K01981:
100169753	hsa03008:K01981:
100169753	hsa03010:K01981:
100169754	hsa03008:K01981:
100169754	hsa03010:K01981:
100169755	hsa03008:K01981:
100169755	hsa03010:K01981:
100169756	hsa03008:K01981:
100169756	hsa03010:K01981:
100169757	hsa03008:K01981:
100169757	hsa03010:K01981:
100169758	hsa03008:K01981:
100169758	hsa03010:K01981:
100169759	hsa03008:K01981:
100169759	hsa03010:K01981:
100169760	hsa03008:K01981:
100169760	hsa03010:K01981:
100169761	hsa03008:K01981:
100169761	hsa03010:K01981:
100169762	hsa03008:K01981:
100169762	hsa03010:K01981:
100169763	hsa03008:K01981:
100169763	hsa03010:K01981:
100169764	hsa03008:K01981:
100169764	hsa03010:K01981:
100169765	hsa03008:K01981:
100169765	hsa03010:K01981:
100169766	hsa03008:K01981:
100169766	hsa03010:K01981:
100169767	hsa03008:K01981:
100169767	hsa03010:K01981:
100169768	hsa03008:K01981:
100169768	hsa03010:K01981:
10018	hsa01521:K16341:
10018	hsa04068:K16341:
10018	hsa04151:K16341:
10018	hsa04210:K16341:
10018	hsa04215:K16341:
10018	hsa04932:K16341:
10018	hsa05200:K16341:
10018	hsa05206:K16341:
10018	hsa05210:K16341:
10019	hsa04722:K12459:
1001	hsa04514:K06796:
10020	hsa00520:K12409:[EC:3.2.1.183 2.7.1.60]
10021	hsa04024:K04957:
10021	hsa04742:K04957:
10022	hsa04926:K22001:
10023	hsa04310:K03069:
10023	hsa05200:K03069:
10023	hsa05224:K03069:
10023	hsa05225:K03069:
10023	hsa05226:K03069:
10025	hsa04919:K15159:
10026	hsa00563:K05290:[EC:2.6.-.-]
100271849	hsa04022:K09261:
100271849	hsa04371:K09261:
100271927	hsa04014:K17630:
100287171	hsa04144:K18461:
100288562	hsa03008:K14570:[EC:3.1.-.-]
100289462	hsa04657:K21100:
1002	hsa04514:K06797:
100302238	hsa05206:K16989:
100302282	hsa05206:K16989:
100310812	hsa04114:K08694:
100310812	hsa04914:K08694:
10038	hsa03410:K10798:[EC:2.4.2.30]
10038	hsa04210:K10798:[EC:2.4.2.30]
10038	hsa04217:K10798:[EC:2.4.2.30]
10039	hsa03410:K10798:[EC:2.4.2.30]
10039	hsa04210:K10798:[EC:2.4.2.30]
10039	hsa04217:K10798:[EC:2.4.2.30]
1003	hsa04514:K06533:
1003	hsa04670:K06533:
1003	hsa05418:K06533:
100500809	hsa05206:K17395:
100505767	hsa04114:K08694:
100505767	hsa04914:K08694:
100506012	hsa04010:K04460:[EC:3.1.3.16]
100506248	hsa05169:K13784:
100506658	hsa04514:K06088:
100506658	hsa04530:K06088:
100506658	hsa04670:K06088:
100506658	hsa05130:K06088:
100506658	hsa05160:K06088:
100506742	hsa04141:K04741:[EC:3.4.22.-]
100506742	hsa04210:K04741:[EC:3.4.22.-]
100506742	hsa04621:K04741:[EC:3.4.22.-]
100506742	hsa05010:K04741:[EC:3.4.22.-]
100506742	hsa05014:K04741:[EC:3.4.22.-]
100506742	hsa05020:K04741:[EC:3.4.22.-]
100506742	hsa05161:K04741:[EC:3.4.22.-]
100507436	hsa04650:K07985:
100507436	hsa05167:K07985:
100526739	hsa03460:K11511:
100526760	hsa00220:K14677:[EC:3.5.1.14]
100526767	hsa04144:K12193:
100526767	hsa04217:K12193:
100526794	hsa00230:K01081:[EC:3.1.3.5]
100526794	hsa00240:K01081:[EC:3.1.3.5]
100526794	hsa00760:K01081:[EC:3.1.3.5]
100526842	hsa03010:K02880:
100528021	hsa00670:K01934:[EC:6.3.3.2]
100528030	hsa00512:K00710:[EC:2.4.1.41]
100528032	hsa04650:K06728:
100528032	hsa05144:K06728:
100529063	hsa03015:K14396:
100529063	hsa05164:K14396:
100529097	hsa03010:K02929:
100529239	hsa03010:K02947:
100532726	hsa00190:K03968:
100532726	hsa04714:K03968:
100532726	hsa04723:K03968:
100532726	hsa04932:K03968:
100532726	hsa05010:K03968:
100532726	hsa05012:K03968:
100532726	hsa05016:K03968:
100532731	hsa04550:K11459:
100532731	hsa05202:K11459:
100532731	hsa05206:K11459:
100532736	hsa04350:K19558:
100533105	hsa04068:K13304:[EC:2.7.11.1]
100533105	hsa04151:K13304:[EC:2.7.11.1]
100533467	hsa03420:K10846:
100534599	hsa03040:K12870:
10053	hsa04142:K12393:
10053	hsa05170:K12393:
10054	hsa04120:K10685:[EC:6.2.1.45]
10055	hsa04120:K10684:[EC:6.2.1.45]
10056	hsa00970:K01890:[EC:6.1.1.20]
10057	hsa01523:K05668:
10057	hsa02010:K05668:
10058	hsa02010:K05661:
10059	hsa04217:K17065:[EC:3.6.5.5]
10059	hsa04621:K17065:[EC:3.6.5.5]
10059	hsa04668:K17065:[EC:3.6.5.5]
10060	hsa02010:K05033:
100616173	hsa05206:K16975:
10062	hsa03320:K08536:
10062	hsa04931:K08536:
10062	hsa04932:K08536:
10062	hsa05160:K08536:
10063	hsa00190:K02260:
10063	hsa04714:K02260:
100653049	hsa04915:K07604:
10073	hsa03013:K13151:
10075	hsa04120:K10592:[EC:2.3.2.26]
10084	hsa03040:K12865:
100861540	hsa00140:K17691:[EC:1.14.14.1]
100861540	hsa00830:K17691:[EC:1.14.14.1]
100861540	hsa05204:K17691:[EC:1.14.14.1]
10090	hsa00532:K03193:[EC:2.8.2.-]
100913187	hsa05170:K18750:[EC:3.5.4.-]
10092	hsa04144:K05754:
10092	hsa04666:K05754:
10092	hsa04810:K05754:
10092	hsa05100:K05754:
10092	hsa05130:K05754:
10092	hsa05131:K05754:
10092	hsa05132:K05754:
10093	hsa04144:K05755:
10093	hsa04666:K05755:
10093	hsa04810:K05755:
10093	hsa05100:K05755:
10093	hsa05130:K05755:
10093	hsa05131:K05755:
10093	hsa05132:K05755:
10094	hsa04144:K05756:
10094	hsa04666:K05756:
10094	hsa04810:K05756:
10094	hsa05100:K05756:
