gene	GO_id	name	namespace
CCR5	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR6	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR7	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR8	GO:0004930	G protein-coupled receptor activity	molecular_function
CCR9	GO:0004930	G protein-coupled receptor activity	molecular_function
CCRL2	GO:0004930	G protein-coupled receptor activity	molecular_function
CELSR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CELSR2	GO:0004930	G protein-coupled receptor activity	molecular_function
CELSR3	GO:0004930	G protein-coupled receptor activity	molecular_function
CHML	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM1	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM2	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM3	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM4	GO:0004930	G protein-coupled receptor activity	molecular_function
CHRM5	GO:0004930	G protein-coupled receptor activity	molecular_function
CMKLR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CNR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CNR2	GO:0004930	G protein-coupled receptor activity	molecular_function
CRHR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CRHR2	GO:0004930	G protein-coupled receptor activity	molecular_function
CX3CR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CXCR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CXCR2	GO:0004930	G protein-coupled receptor activity	molecular_function
CXCR3	GO:0004930	G protein-coupled receptor activity	molecular_function
CXCR4	GO:0004930	G protein-coupled receptor activity	molecular_function
CXCR5	GO:0004930	G protein-coupled receptor activity	molecular_function
CXCR6	GO:0004930	G protein-coupled receptor activity	molecular_function
CYSLTR1	GO:0004930	G protein-coupled receptor activity	molecular_function
CYSLTR2	GO:0004930	G protein-coupled receptor activity	molecular_function
DRD1	GO:0004930	G protein-coupled receptor activity	molecular_function
DRD2	GO:0004930	G protein-coupled receptor activity	molecular_function
DRD3	GO:0004930	G protein-coupled receptor activity	molecular_function
DRD4	GO:0004930	G protein-coupled receptor activity	molecular_function
DRD5	GO:0004930	G protein-coupled receptor activity	molecular_function
EDNRA	GO:0004930	G protein-coupled receptor activity	molecular_function
EDNRB	GO:0004930	G protein-coupled receptor activity	molecular_function
PTGER3	GO:0004930	G protein-coupled receptor activity	molecular_function
F2R	GO:0004930	G protein-coupled receptor activity	molecular_function
F2RL1	GO:0004930	G protein-coupled receptor activity	molecular_function
F2RL2	GO:0004930	G protein-coupled receptor activity	molecular_function
F2RL3	GO:0004930	G protein-coupled receptor activity	molecular_function
FFAR1	GO:0004930	G protein-coupled receptor activity	molecular_function
FFAR2	GO:0004930	G protein-coupled receptor activity	molecular_function
FFAR3	GO:0004930	G protein-coupled receptor activity	molecular_function
FFAR4	GO:0004930	G protein-coupled receptor activity	molecular_function
FPR1	GO:0004930	G protein-coupled receptor activity	molecular_function
FPR2	GO:0004930	G protein-coupled receptor activity	molecular_function
FPR3	GO:0004930	G protein-coupled receptor activity	molecular_function
FRZB	GO:0004930	G protein-coupled receptor activity	molecular_function
FSHR	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD10	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD1	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD2	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD3	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD4	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD5	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD6	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD7	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD8	GO:0004930	G protein-coupled receptor activity	molecular_function
FZD9	GO:0004930	G protein-coupled receptor activity	molecular_function
GABBR1	GO:0004930	G protein-coupled receptor activity	molecular_function
GABBR2	GO:0004930	G protein-coupled receptor activity	molecular_function
GALR1	GO:0004930	G protein-coupled receptor activity	molecular_function
GALR2	GO:0004930	G protein-coupled receptor activity	molecular_function
GALR3	GO:0004930	G protein-coupled receptor activity	molecular_function
GCGR	GO:0004930	G protein-coupled receptor activity	molecular_function
GHRHR	GO:0004930	G protein-coupled receptor activity	molecular_function
GHSR	GO:0004930	G protein-coupled receptor activity	molecular_function
GIPR	GO:0004930	G protein-coupled receptor activity	molecular_function
GLP1R	GO:0004930	G protein-coupled receptor activity	molecular_function
GLP2R	GO:0004930	G protein-coupled receptor activity	molecular_function
GNRHR2	GO:0004930	G protein-coupled receptor activity	molecular_function
GNRHR	GO:0004930	G protein-coupled receptor activity	molecular_function
GPBAR1	GO:0004930	G protein-coupled receptor activity	molecular_function
GPER1	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR101	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR119	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR12	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR132	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR135	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR139	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR141	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR142	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR143	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR146	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR148	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR149	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR150	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR151	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR152	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR153	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR156	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR157	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR158	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR15	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR160	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR161	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR162	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR171	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR173	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR174	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR176	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR179	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR17	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR182	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR183	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR18	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR19	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR1	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR20	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR21	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR22	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR25	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR26	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR27	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR31	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR32	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR32P1	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR33	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR34	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR35	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR37	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR37L1	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR39	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR3	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR42	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR45	GO:0004930	G protein-coupled receptor activity	molecular_function
LGR5	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR4	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR50	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR52	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR55	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR61	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR62	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR63	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR65	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR68	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR6	GO:0004930	G protein-coupled receptor activity	molecular_function
