Lineage	PATH
Fungi	ko00130
Fungi	ko00190
Fungi	ko00220
Fungi	ko00230
Fungi	ko00232
Fungi	ko00240
Fungi	ko00250
Fungi	ko00254
Fungi	ko00260
Fungi	ko00261
Fungi	ko00270
Fungi	ko00280
Fungi	ko00290
Fungi	ko00300
Fungi	ko00310
Fungi	ko00311
Fungi	ko00330
Fungi	ko00332
Fungi	ko00340
Fungi	ko00350
Fungi	ko00360
Fungi	ko00380
Fungi	ko00400
Fungi	ko00410
Fungi	ko00430
Fungi	ko00440
Fungi	ko00450
Fungi	ko00460
Fungi	ko00472
Fungi	ko00480
Fungi	ko00500
Fungi	ko00510
Fungi	ko00511
Fungi	ko00513
Fungi	ko00514
Fungi	ko00515
Fungi	ko00520
Fungi	ko00531
Fungi	ko00561
Fungi	ko00562
Fungi	ko00563
Fungi	ko00564
Fungi	ko00565
Fungi	ko00590
Fungi	ko00592
Fungi	ko00600
Fungi	ko00603
Fungi	ko00620
Fungi	ko00630
Fungi	ko00640
Fungi	ko00650
Fungi	ko00660
Fungi	ko00670
Fungi	ko00680
Fungi	ko00730
Fungi	ko00740
Fungi	ko00750
Fungi	ko00760
Fungi	ko00770
Fungi	ko00780
Fungi	ko00785
Fungi	ko00790
Fungi	ko00791
Fungi	ko00860
Fungi	ko00900
Fungi	ko00904
Fungi	ko00906
Fungi	ko00909
Fungi	ko00910
Fungi	ko00920
Fungi	ko00970
Fungi	ko01040
Fungi	ko01501
Fungi	ko02010
Fungi	ko03008
Fungi	ko03010
Fungi	ko03013
Fungi	ko03015
Fungi	ko03018
Fungi	ko03020
Fungi	ko03022
Fungi	ko03030
Fungi	ko03040
Fungi	ko03050
Fungi	ko03060
Fungi	ko03410
Fungi	ko03420
Fungi	ko03430
Fungi	ko03440
Fungi	ko03450
Fungi	ko04011
Fungi	ko04070
Fungi	ko04111
Fungi	ko04113
Fungi	ko04120
Fungi	ko04122
Fungi	ko04130
Fungi	ko04136
Fungi	ko04138
Fungi	ko04139
Fungi	ko04141
Fungi	ko04144
Fungi	ko04145
Fungi	ko04146
Fungi	ko04933
Fungi	ko00403
Fungi	ko00404
Fungi	ko00591
Fungi	ko01053
Fungi	ko04213
Fungi	ko04392
Fungi	ko01502
Fungi	ko00601
Fungi	ko00073
Plants	ko00010
Plants	ko00020
Plants	ko00030
Plants	ko00040
Plants	ko00051
Plants	ko00052
Plants	ko00053
Plants	ko00061
Plants	ko00062
Plants	ko00071
Plants	ko00072
Plants	ko00073
Plants	ko00100
Plants	ko00130
Plants	ko00190
Plants	ko00195
Plants	ko00196
Plants	ko00220
Plants	ko00230
Plants	ko00232
Plants	ko00240
Plants	ko00250
Plants	ko00260
Plants	ko00261
Plants	ko00270
Plants	ko00280
Plants	ko00290
Plants	ko00300
Plants	ko00310
Plants	ko00330
Plants	ko00340
Plants	ko00350
Plants	ko00360
Plants	ko00380
Plants	ko00400
Plants	ko00410
Plants	ko00430
Plants	ko00440
Plants	ko00450
Plants	ko00460
Plants	ko00480
Plants	ko00500
Plants	ko00510
Plants	ko00511
Plants	ko00514
Plants	ko00515
Plants	ko00520
Plants	ko00531
Plants	ko00561
Plants	ko00562
Plants	ko00563
Plants	ko00564
Plants	ko00565
Plants	ko00590
Plants	ko00591
Plants	ko00592
Plants	ko00600
Plants	ko00601
Plants	ko00603
Plants	ko00604
Plants	ko00620
Plants	ko00630
Plants	ko00640
Plants	ko00650
Plants	ko00660
Plants	ko00670
Plants	ko00710
Plants	ko00730
Plants	ko00740
Plants	ko00750
Plants	ko00760
Plants	ko00770
Plants	ko00780
Plants	ko00785
Plants	ko00790
Plants	ko00860
Plants	ko00900
Plants	ko00901
Plants	ko00902
Plants	ko00904
Plants	ko00905
Plants	ko00906
Plants	ko00908
Plants	ko00909
Plants	ko00910
Plants	ko00920
Plants	ko00940
Plants	ko00941
Plants	ko00944
Plants	ko00945
Plants	ko00950
Plants	ko00960
Plants	ko00965
Plants	ko00966
Plants	ko00970
Plants	ko01040
Plants	ko01502
Plants	ko02010
Plants	ko03008
Plants	ko03010
Plants	ko03013
Plants	ko03015
Plants	ko03018
Plants	ko03020
Plants	ko03022
Plants	ko03030
Plants	ko03040
Plants	ko03050
Plants	ko03060
Plants	ko03410
Plants	ko03420
Plants	ko03430
Plants	ko03440
Plants	ko03450
Plants	ko04016
Plants	ko04070
Plants	ko04075
Plants	ko04120
Plants	ko04122
Plants	ko04130
Plants	ko04136
Plants	ko04141
Plants	ko04144
Plants	ko04145
Plants	ko04146
Plants	ko04712
Plants	ko04933
Plants	ko00942
Plants	ko04626
Plants	ko00943
Plants	ko01058
Plants	ko00332
Plants	ko00472
Plants	ko00402
Protists	ko00010
Protists	ko00020
Protists	ko00030
Protists	ko00040
Protists	ko00051
Protists	ko00052
Protists	ko00053
Protists	ko00061
Protists	ko00062
Protists	ko00071
Protists	ko00072
Protists	ko00130
Protists	ko00190
Protists	ko00220
Protists	ko00230
Protists	ko00240
Protists	ko00250
Protists	ko00260
Protists	ko00261
Protists	ko00270
Protists	ko00280
Protists	ko00290
Protists	ko00300
Protists	ko00310
Protists	ko00330
Protists	ko00332
Protists	ko00380
Protists	ko00400
Protists	ko00410
Protists	ko00440
Protists	ko00450
Protists	ko00460
Protists	ko00480
Protists	ko00500
Protists	ko00510
Protists	ko00520
Protists	ko00561
Protists	ko00562
Protists	ko00563
Protists	ko00564
Protists	ko00565
Protists	ko00590
Protists	ko00592
Protists	ko00600
Protists	ko00604
Protists	ko00620
Protists	ko00630
Protists	ko00640
Protists	ko00650
Protists	ko00670
Protists	ko00730
Protists	ko00740
Protists	ko00750
Protists	ko00760
