Entry	code	Scientific_name	txid	Common_name	Taxonomic_classification
T01596	buj	Stenotrophomonas maltophilia JV3			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Stenotrophomonas
T02061	smz	Stenotrophomonas maltophilia D457			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Stenotrophomonas
T04107	sacz	Stenotrophomonas acidaminiphila	128780		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Stenotrophomonas
T04408	stek	Stenotrophomonas sp. KCTC 12332	1793721		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Stenotrophomonas
T04500	srh	Stenotrophomonas rhizophila	216778		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Stenotrophomonas
T04630	slm	Stenotrophomonas sp. LM091	1904944		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Stenotrophomonas
T04963	sten	Stenotrophomonas sp. WZN-1	2005046		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Stenotrophomonas
T05384	stem	Stenotrophomonas sp. MYb57	1827305		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Stenotrophomonas
T01403	psu	Pseudoxanthomonas suwonensis 11-1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudoxanthomonas
T04241	psuw	Pseudoxanthomonas suwonensis J1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudoxanthomonas
T01643	psd	Pseudoxanthomonas spadix	415229		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudoxanthomonas
T04154	lab	Lysobacter antibioticus 76			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Lysobacter
T04526	laq	Lysobacter antibioticus ATCC 29479			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Lysobacter
T04162	lcp	Lysobacter capsici	435897		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Lysobacter
T04163	lgu	Lysobacter gummosus	262324		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Lysobacter
T04371	lez	Lysobacter enzymogenes C3			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Lysobacter
T04598	lem	Lysobacter enzymogenes M497-1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Lysobacter
T05495	lmb	Lysobacter maris	1605891		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Lysobacter
T05077	lum	Luteimonas sp. 100111	2006110		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Luteimonas
T05527	lue	Luteimonas sp. 83-4	2172536		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Luteimonas
T01773	fau	Frateuria aurantia	81475		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Frateuria
T02495	rhd	Rhodanobacter denitrificans	666685		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Rhodanobacter
T03074	dji	Dyella jiangningensis	1379159		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Dyella
T03215	dja	Dyella japonica	231455		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Dyella
T04308	dtx	Dyella thiooxydans	445710		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Dyella
T04377	dko	Dokdonella koreensis	323415		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Dokdonella
T04563	lrz	Luteibacter rhizovicinus	242606		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Luteibacter
T05483	xba	Ahniella affigens	2021234		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Ahniella
T00034	vch	Vibrio cholerae O1 El Tor N16961			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03827	vcf	Vibrio cholerae O1 El Tor FJ147			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03666	vcs	Vibrio cholerae O1 El Tor MS6			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T01650	vce	Vibrio cholerae O1 2010EL-1786			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03389	vcq	Vibrio cholerae O1 2012EL-2176			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00903	vcj	Vibrio cholerae O1 MJ-1236			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T01766	vci	Vibrio cholerae O1 IEC224			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00520	vco	Vibrio cholerae O1 O395			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T02099	vcr	Vibrio cholerae O1 O395			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00891	vcm	Vibrio cholerae O1 M66-2			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T01871	vcl	Vibrio cholerae O1 LMA3984-4			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03828	vcx	Vibrio cholerae O49 1154-74			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03829	vcz	Vibrio cholerae O27 10432-62			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00108	vvu	Vibrio vulnificus CMCP6			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00150	vvy	Vibrio vulnificus YJ016			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T01415	vvm	Vibrio vulnificus MO6-24/O			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03294	vvl	Vibrio vulnificus 93U204			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00120	vpa	Vibrio parahaemolyticus RIMD 2210633			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T02409	vpb	Vibrio parahaemolyticus BB22OP			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T02760	vpk	Vibrio parahaemolyticus O1:K33 CDC_K4557			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T02761	vpf	Vibrio parahaemolyticus O1:Kuk FDA_R31			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03116	vph	Vibrio parahaemolyticus UCM-V493			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00589	vha	Vibrio campbellii	680		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T02837	vca	Vibrio campbellii	680		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T02840	vag	Vibrio alginolyticus	663		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T01107	vex	Vibrio antiquarius			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04380	vhr	Vibrio harveyi	669		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04636	vna	Vibrio natriegens	691		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04844	vow	Vibrio owensii	696485		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T05115	vro	Vibrio rotiferianus	190895		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T05332	vdb	Vibrio diabolicus	50719		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00812	vsp	Vibrio tasmaniensis	212663		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T01683	vej	Vibrio sp. EJY3	1116375		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T01680	vfu	Vibrio furnissii	29494		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T02871	vni	Vibrio nigripulchritudo	28173		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T01536	van	Vibrio anguillarum 775			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T02823	lag	Vibrio anguillarum M3			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03657	vau	Vibrio anguillarum NB10			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03444	vcy	Vibrio coralliilyticus RE98			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03497	vct	Vibrio coralliilyticus OCN014			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T03445	vtu	Vibrio tubiashii	29498		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04379	vfl	Vibrio fluvialis	676		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04381	vmi	Vibrio mimicus	674		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04649	vbr	Vibrio breoganii	553239		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04650	vsc	Vibrio scophthalmi	45658		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04933	vga	Vibrio gazogenes	687		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T04936	vsh	Vibrio shilonii	62153		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T05259	vqi	Vibrio qinghaiensis	2025808		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T05424	vta	Vibrio tapetis	52443		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Vibrio
T00236	vfi	Aliivibrio fischeri ES114			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Aliivibrio
T00754	vfm	Aliivibrio fischeri MJ11			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Aliivibrio
T00782	vsa	Aliivibrio salmonicida	40269		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Aliivibrio
T03808	awd	Aliivibrio wodanis	80852		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Aliivibrio
T00173	ppr	Photobacterium profundum	74109		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Photobacterium
T03698	pgb	Photobacterium gaetbulicola	1295392		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Photobacterium
T04927	pds	Photobacterium damselae subsp. damselae			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Photobacterium
T04260	gho	Grimontia hollisae	673		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Grimontia
T05093	pmai	Paraphotobacterium marinum	1755811		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Paraphotobacterium
T00035	pae	Pseudomonas aeruginosa PAO1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03097	paev	Pseudomonas aeruginosa PAO1-VE13			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03170	paei	Pseudomonas aeruginosa PAO1-VE2			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00401	pau	Pseudomonas aeruginosa UCBPP-PA14			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00569	pap	Pseudomonas aeruginosa PA7			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00818	pag	Pseudomonas aeruginosa LESB58			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01973	paf	Pseudomonas aeruginosa M18			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01974	pnc	Pseudomonas aeruginosa NCGM2.S1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03789	paeb	Pseudomonas aeruginosa NCGM 1900			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02161	pdk	Pseudomonas aeruginosa DK2			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02627	psg	Pseudomonas aeruginosa B136-33			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02711	prp	Pseudomonas aeruginosa RP73			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02928	paep	Pseudomonas aeruginosa PA1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02929	paer	Pseudomonas aeruginosa PA1R			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02951	paem	Pseudomonas aeruginosa MTB-1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02970	pael	Pseudomonas aeruginosa LES431			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02971	paes	Pseudomonas aeruginosa SCV20265			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03031	paeu	Pseudomonas aeruginosa PA38182			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03035	paeg	Pseudomonas aeruginosa YL84			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03098	paec	Pseudomonas aeruginosa c7447m			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03171	paeo	Pseudomonas aeruginosa PAO581			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00510	pmy	Pseudomonas mendocina ymp			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01473	pmk	Pseudomonas mendocina NK-01			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02708	pre	Pseudomonas resinovorans	53412		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03772	ppse	Pseudomonas pseudoalcaligenes	330		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04318	palc	Pseudomonas alcaligenes	43263		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04637	pcq	Pseudomonas citronellolis	53408		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00114	ppu	Pseudomonas putida KT2440			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00537	ppf	Pseudomonas putida F1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00650	ppg	Pseudomonas putida GB-1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00675	ppw	Pseudomonas putida W619			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01570	ppt	Pseudomonas putida S16			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01975	ppb	Pseudomonas putida BIRD-1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02170	ppi	Pseudomonas putida ND6			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02181	ppx	Pseudomonas putida DOT-T1E			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02389	ppuh	Pseudomonas putida HB3267			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02706	pput	Pseudomonas putida H8234			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02707	ppun	Pseudomonas putida NBRC 14164			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03439	ppud	Pseudomonas putida DLL-E4			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01501	pfv	Pseudomonas fulva	47880		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02972	pmon	Pseudomonas monteilii SB3078			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02973	pmot	Pseudomonas monteilii SB3101			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03276	pmos	Pseudomonas mosselii	78327		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03646	ppj	Pseudomonas plecoglossicida	70775		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04267	por	Pseudomonas oryzihabitans	47885		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00118	pst	Pseudomonas syringae pv. tomato DC3000			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00246	psb	Pseudomonas syringae pv. syringae B728a			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03014	psyr	Pseudomonas syringae CC1557			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00266	psp	Pseudomonas savastanoi pv. phaseolicola 1448A			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T05354	pamg	Pseudomonas amygdali	47877		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03002	pci	Pseudomonas cichorii	36746		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T05369	pavl	Pseudomonas avellanae	46257		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00249	pfl	Pseudomonas protegens Pf-5			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02671	pprc	Pseudomonas protegens CHA0			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03613	ppro	Pseudomonas protegens Cab57			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00283	pfo	Pseudomonas fluorescens Pf0-1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00899	pfs	Pseudomonas fluorescens SBW25			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01734	pfe	Pseudomonas fluorescens F113			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02114	pfc	Pseudomonas fluorescens A506			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03319	pfn	Pseudomonas fluorescens UK4			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03766	pfw	Pseudomonas fluorescens PCL1751			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03767	pff	Pseudomonas fluorescens PICF7			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04730	pfx	Pseudomonas fluorescens L228			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02456	ppz	Pseudomonas poae	200451		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03769	pfb	Pseudomonas synxantha LBUM223			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03626	pman	Pseudomonas mandelii	75612		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04006	ptv	Pseudomonas trivialis	200450		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04842	pcg	Pseudomonas corrugata	47879		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04853	pvr	Pseudomonas veronii	76761		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04879	pazo	Pseudomonas azotoformans	47878		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T05323	poi	Pseudomonas orientalis	76758		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00362	pen	Pseudomonas entomophila	312306		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00511	psa	Pseudomonas stutzeri A1501			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01571	psz	Pseudomonas stutzeri ATCC 17588			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01976	psr	Pseudomonas stutzeri DSM 4166			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02168	psc	Pseudomonas stutzeri CCUG 29243			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02182	psj	Pseudomonas stutzeri DSM 10701			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02391	psh	Pseudomonas stutzeri RCH2			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03366	pstu	Pseudomonas stutzeri 19SMN4			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03390	pstt	Pseudomonas stutzeri 28a24			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03573	pbm	Pseudomonas balearica	74829		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T01472	pba	Pseudomonas brassicacearum subsp. brassicacearum NFM421			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03174	pbc	Pseudomonas brassicacearum DF41			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02357	ppuu	Pseudomonas sp. UW4	1207075		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02524	pdr	Pseudomonas sp. ATCC 13867	1294143		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02897	psv	Pseudomonas sp. VLB120	69328		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T02969	psk	Pseudomonas sp. TKP	1415630		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03081	pkc	Pseudomonas knackmussii	65741		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03201	pch	Pseudomonas chlororaphis PA23			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03768	pcz	Pseudomonas chlororaphis PCL1606			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03338	pcp	Pseudomonas chlororaphis subsp. aurantiaca			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04285	pfz	Pseudomonas fragi	296		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T05473	plq	Pseudomonas lundensis	86185		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03238	palk	Pseudomonas alkylphenolica			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03339	prh	Pseudomonas rhizosphaerae	216142		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03354	psw	Pseudomonas cremoricolorata	157783		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03520	ppv	Pseudomonas parafulva	157782		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03623	pses	Pseudomonas sp. StFLB209	1028989		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03702	psem	Pseudomonas sp. MRSN12121	1611770		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T03967	psec	Pseudomonas sp. CCOS 191	1649877		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04081	ppsy	Pseudomonas versuta	1788301		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04177	psos	Pseudomonas sp. Os17	1500686		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04647	pkr	Pseudomonas koreensis	198620		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04786	pfk	Pseudomonas frederiksbergensis	104087		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T04830	panr	Pseudomonas antarctica	219572		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T05074	ppsl	Pseudomonas psychrotolerans	237610		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T05373	pset	Pseudomonas sp. TCU-HL1	1856685		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T05412	psil	Pseudomonas silesiensis	1853130		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Pseudomonas
T00885	avn	Azotobacter vinelandii DJ			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Azotobacter
T02633	avl	Azotobacter vinelandii CA			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Azotobacter
T02634	avd	Azotobacter vinelandii CA6			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Azotobacter
T03640	acx	Azotobacter chroococcum	353		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Azotobacter
T04152	pbb	Oblitimonas alkaliphila	1697053		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Oblitimonas
T00256	par	Psychrobacter arcticus	334543		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T00350	pcr	Psychrobacter cryohalolentis	330922		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T00541	prw	Psychrobacter sp. PRwf-1	349106		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T02715	pso	Psychrobacter sp. G	571800		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T04087	pur	Psychrobacter urativorans	45610		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T04320	pali	Psychrobacter alimentarius	261164		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T04386	pspg	Psychrobacter sp. P2G3	1699622		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T04411	psyg	Psychrobacter sp. P11G5	1699624		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T04748	psyc	Psychrobacter sp. DAB_AL43B			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T04964	psya	Psychrobacter sp. AntiMn-1	1720344		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T05488	psyy	Psychrobacter sp. YP14	2203895		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Psychrobacter
T00486	acb	Acinetobacter baumannii ATCC 17978			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T00660	abm	Acinetobacter baumannii SDF			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T00667	aby	Acinetobacter baumannii AYE			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T00710	abc	Acinetobacter baumannii ACICU			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T00793	abn	Acinetobacter baumannii AB0057			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T00795	abb	Acinetobacter baumannii AB307-0294			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T01819	abx	Acinetobacter baumannii 1656-2			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T01820	abz	Acinetobacter baumannii MDR-ZJ06			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T02045	abr	Acinetobacter baumannii MDR-TJ			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T01908	abd	Acinetobacter baumannii TCDC-AB0715			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T02261	abh	Acinetobacter baumannii TYTH-1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T02491	abad	Acinetobacter baumannii D1279779			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T02726	abj	Acinetobacter baumannii BJAB07104			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T02727	abab	Acinetobacter baumannii BJAB0715			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T02728	abaj	Acinetobacter baumannii BJAB0868			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T02954	abaz	Acinetobacter baumannii ZW85-1			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T03374	abk	Acinetobacter baumannii AbH12O-A2			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T03375	abau	Acinetobacter baumannii AB030			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T03376	abaa	Acinetobacter baumannii AB031			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T03377	abw	Acinetobacter baumannii AC29			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T03519	abal	Acinetobacter baumannii LAC-4			Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T01684	acc	Acinetobacter pittii	48296		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
T04196	ano	Acinetobacter nosocomialis	106654		Prokaryotes; Bacteria; Gammaproteobacteria - Others; Acinetobacter
