Entry	code	Scientific_name	txid	Common_name	Taxonomic_classification
T04864	pmaj	Parus major	9157	Great Tit	Eukaryotes; Animals; Vertebrates; Birds
T03546	ccw	Corvus cornix	181096	hooded crow	Eukaryotes; Animals; Vertebrates; Birds
T02856	fpg	Falco peregrinus	8954	peregrine falcon	Eukaryotes; Animals; Vertebrates; Birds
T02911	fch	Falco cherrug	345164	Saker falcon	Eukaryotes; Animals; Vertebrates; Birds
T02912	clv	Columba livia	8932	rock pigeon	Eukaryotes; Animals; Vertebrates; Birds
T05152	egz	Egretta garzetta	188379	little egret	Eukaryotes; Animals; Vertebrates; Birds
T04298	aam	Apteryx australis mantelli		brown kiwi	Eukaryotes; Animals; Vertebrates; Birds
T02922	asn	Alligator sinensis	38654	Chinese alligator	Eukaryotes; Animals; Vertebrates; Reptiles
T03087	amj	Alligator mississippiensis	8496	American alligator	Eukaryotes; Animals; Vertebrates; Reptiles
T02980	pss	Pelodiscus sinensis	13735	Chinese soft-shelled turtle	Eukaryotes; Animals; Vertebrates; Reptiles
T02989	cmy	Chelonia mydas	8469	green sea turtle	Eukaryotes; Animals; Vertebrates; Reptiles
T04662	cpic	Chrysemys picta	8479	western painted turtle	Eukaryotes; Animals; Vertebrates; Reptiles
T01608	acs	Anolis carolinensis	28377	green anole	Eukaryotes; Animals; Vertebrates; Reptiles
T05000	pvt	Pogona vitticeps	103695	central bearded dragon	Eukaryotes; Animals; Vertebrates; Reptiles
T03091	pbi	Python bivittatus	176946	Burmese python	Eukaryotes; Animals; Vertebrates; Reptiles
T04299	gja	Gekko japonicus	146911		Eukaryotes; Animals; Vertebrates; Reptiles
T01010	xla	Xenopus laevis	8355	African clawed frog	Eukaryotes; Animals; Vertebrates; Amphibians
T01011	xtr	Xenopus tropicalis		western clawed frog	Eukaryotes; Animals; Vertebrates; Amphibians
T04897	npr	Nanorana parkeri	125878		Eukaryotes; Animals; Vertebrates; Amphibians
T01004	dre	Danio rerio	7955	zebrafish	Eukaryotes; Animals; Vertebrates; Fishes
T04916	srx	Sinocyclocheilus rhinocerous	307959		Eukaryotes; Animals; Vertebrates; Fishes
T04917	sanh	Sinocyclocheilus anshuiensis	1608454		Eukaryotes; Animals; Vertebrates; Fishes
T04918	sgh	Sinocyclocheilus grahami	75366		Eukaryotes; Animals; Vertebrates; Fishes
T05134	ccar	Cyprinus carpio	7962	common carp	Eukaryotes; Animals; Vertebrates; Fishes
T04658	ipu	Ictalurus punctatus	7998	channel catfish	Eukaryotes; Animals; Vertebrates; Fishes
T05042	amex	Astyanax mexicanus	7994	Mexican tetra	Eukaryotes; Animals; Vertebrates; Fishes
T02386	tru	Takifugu rubripes	31033	torafugu	Eukaryotes; Animals; Vertebrates; Fishes
T04346	tng	Tetraodon nigroviridis	99883	spotted green pufferfish	Eukaryotes; Animals; Vertebrates; Fishes
T04659	lco	Larimichthys crocea	215358	large yellow croaker	Eukaryotes; Animals; Vertebrates; Fishes
T04920	ncc	Notothenia coriiceps	8208	black rockcod	Eukaryotes; Animals; Vertebrates; Fishes
T02814	mze	Maylandia zebra	106582	zebra mbuna	Eukaryotes; Animals; Vertebrates; Fishes
T02443	ola	Oryzias latipes	8090	Japanese medaka	Eukaryotes; Animals; Vertebrates; Fishes
T02923	xma	Xiphophorus maculatus	8083	southern platyfish	Eukaryotes; Animals; Vertebrates; Fishes
T05149	pret	Poecilia reticulata	8081	guppy	Eukaryotes; Animals; Vertebrates; Fishes
T05163	nfu	Nothobranchius furzeri	105023	turquoise killifish	Eukaryotes; Animals; Vertebrates; Fishes
T04866	csem	Cynoglossus semilaevis	244447	tongue sole	Eukaryotes; Animals; Vertebrates; Fishes
T04895	lcf	Lates calcarifer	8187	barramundi perch	Eukaryotes; Animals; Vertebrates; Fishes
T04969	hcq	Hippocampus comes	109280	tiger tail seahorse	Eukaryotes; Animals; Vertebrates; Fishes
T05002	bpec	Boleophthalmus pectinirostris	150288	great blue-spotted mudskipper	Eukaryotes; Animals; Vertebrates; Fishes
T04363	sasa	Salmo salar	8030	Atlantic salmon	Eukaryotes; Animals; Vertebrates; Fishes
T04894	els	Esox lucius	8010	northern pike	Eukaryotes; Animals; Vertebrates; Fishes
T04919	sfm	Scleropages formosus	113540	Asian bonytongue	Eukaryotes; Animals; Vertebrates; Fishes
T02913	lcm	Latimeria chalumnae	7897	coelacanth	Eukaryotes; Animals; Vertebrates; Fishes
T03088	cmk	Callorhinchus milii	7868	elephant shark	Eukaryotes; Animals; Vertebrates; Cartilaginous fishes
T01074	bfo	Branchiostoma floridae	7739	Florida lancelet	Eukaryotes; Animals; Lancelets
T01056	cin	Ciona intestinalis	7719	sea squirt	Eukaryotes; Animals; Ascidians
T01019	spu	Strongylocentrotus purpuratus	7668	purple sea urchin	Eukaryotes; Animals; Echinoderms
T05078	aplc	Acanthaster planci	133434	crown-of-thorns starfish	Eukaryotes; Animals; Echinoderms
T04123	sko	Saccoglossus kowalevskii	10224	acorn worm	Eukaryotes; Animals; Hemichordates
T00030	dme	Drosophila melanogaster	7227	fruit fly	Eukaryotes; Animals; Arthropods; Insects
T01032	dpo	Drosophila pseudoobscura pseudoobscura			Eukaryotes; Animals; Arthropods; Insects
T01059	dan	Drosophila ananassae	7217		Eukaryotes; Animals; Arthropods; Insects
T01060	der	Drosophila erecta	7220		Eukaryotes; Animals; Arthropods; Insects
T01063	dpe	Drosophila persimilis	7234		Eukaryotes; Animals; Arthropods; Insects
T01064	dse	Drosophila sechellia	7238		Eukaryotes; Animals; Arthropods; Insects
T01065	dsi	Drosophila simulans	7240		Eukaryotes; Animals; Arthropods; Insects
T01067	dwi	Drosophila willistoni	7260		Eukaryotes; Animals; Arthropods; Insects
T01068	dya	Drosophila yakuba	7245		Eukaryotes; Animals; Arthropods; Insects
T01061	dgr	Drosophila grimshawi	7222		Eukaryotes; Animals; Arthropods; Insects
T01062	dmo	Drosophila mojavensis	7230		Eukaryotes; Animals; Arthropods; Insects
T01066	dvi	Drosophila virilis	7244		Eukaryotes; Animals; Arthropods; Insects
T03448	mde	Musca domestica	7370	house fly	Eukaryotes; Animals; Arthropods; Insects
T01036	aga	Anopheles gambiae	7165	mosquito	Eukaryotes; Animals; Arthropods; Insects
T01053	aag	Aedes aegypti	7159	yellow fever mosquito	Eukaryotes; Animals; Arthropods; Insects
T01079	cqu	Culex quinquefasciatus	7176	southern house mosquito	Eukaryotes; Animals; Arthropods; Insects
T01057	ame	Apis mellifera	7460	honey bee	Eukaryotes; Animals; Arthropods; Insects
