Cucurbita pepo	3663
Ricinus communis	3988
Jatropha curcas	180498
Hevea brasiliensis	3981
Populus trichocarpa	3694
Juglans regia	51240
Vitis vinifera	29760
Solanum lycopersicum	4081
Solanum pennellii	28526
Solanum tuberosum	4113
Capsicum annuum	4072
Nicotiana tabacum	4097
Nicotiana sylvestris	4096
Nicotiana tomentosiformis	4098
Ipomoea nil	35883
Sesamum indicum	4182
Olea europaea	4146
Helianthus annuus	4232
Lactuca sativa	4236
Daucus carota	4039
Beta vulgaris	161934
Spinacia oleracea	3562
Nelumbo nucifera	4432
Oryza sativa	4530
Oryza brachyantha	4533
Brachypodium distachyon	15368
Aegilops tauschii	37682
Sorghum bicolor	4558
Zea mays	4577
Setaria italica	4555
Phoenix dactylifera	42345
Elaeis guineensis	51953
Musa acuminata	4641
Dendrobium officinale	142615
Asparagus officinalis	4686
Amborella trichopoda	13333
Selaginella moellendorffii	88036
Physcomitrella patens	3218
Chlamydomonas reinhardtii	3055
Volvox carteri	3067
Monoraphidium neglectum	145388
Ostreococcus sp. 'lucimarinus'	242159
Ostreococcus tauri	70448
Bathycoccus prasinos	41875
Micromonas commoda	296587
Micromonas pusilla	38833
Coccomyxa subellipsoidea	248742
Chlorella variabilis	554065
Auxenochlorella protothecoides	3075
Cyanidioschyzon merolae	45157
Galdieria sulphuraria	130081
Chondrus crispus	2769
Saccharomyces cerevisiae	4932
Eremothecium gossypii	33169
Eremothecium cymbalariae	45285
Kluyveromyces lactis	28985
Kluyveromyces marxianus	4911
Lachancea thermotolerans	381046
Vanderwaltozyma polyspora	36033
Zygosaccharomyces rouxii	4956
Candida glabrata	5478
Naumovozyma castellii	27288
Naumovozyma dairenensis	27289
Tetrapisispora phaffii	113608
Tetrapisispora blattae	1071379
Torulaspora delbrueckii	4950
Kazachstania africana	432096
Komagataella phaffii	460519
Debaryomyces hansenii	4959
Scheffersomyces stipitis	4924
Meyerozyma guilliermondii	4929
Spathaspora passalidarum	340170
Lodderomyces elongisporus	36914
Candida albicans	5476
Candida tropicalis	5482
Candida orthopsilosis	273371
Candida dubliniensis	42374
Candida tenuis	45596
Yarrowia lipolytica	4952
Clavispora lusitaniae	36911
[Candida] auris	498019
Sugiyamaella lignohabitans	796027
Neurospora crassa	5141
Neurospora tetrasperma	40127
Sordaria macrospora	5147
Podospora anserina	5145
Thielavia terrestris	35720
Thermothelomyces thermophila	78579
Chaetomium thermophilum	209285
Magnaporthe oryzae	318829
Phaeoacremonium minimum	223192
Sporothrix schenckii	29908
Fusarium graminearum	5518
Fusarium pseudograminearum	101028
Fusarium verticillioides	117187
Fusarium oxysporum	5507
Nectria haematococca	140110
Trichoderma reesei	51453
Metarhizium acridum	92637
Metarhizium robertsii	568076
Cordyceps militaris	73501
Purpureocillium lilacinum	33203
Verticillium alfalfae	1051613
Verticillium dahliae	27337
Colletotrichum fioriniae	710243
Eutypa lata	97096
Pestalotiopsis fici	393283
Sclerotinia sclerotiorum	5180
Botrytis cinerea	40559
Marssonina brunnea	698440
Phialocephala scopiformis	149040
Glarea lozoyensis	101852
Aspergillus nidulans	162425
Aspergillus fumigatus	746128
Aspergillus oryzae	5062
Aspergillus niger	5061
Aspergillus flavus	5059
Aspergillus clavatus	5057
Aspergillus fischeri	36630
Penicillium rubens	1108849
Penicillium digitatum	36651
Coccidioides immitis	5501
Coccidioides posadasii	199306
Paracoccidioides lutzii	1048829
Paracoccidioides brasiliensis	121759
Uncinocarpus reesii	33188
Trichophyton benhamiae	63400
Trichophyton verrucosum	63417
Histoplasma capsulatum	5037
Parastagonospora nodorum	13684
Pyrenophora teres	53485
Bipolaris zeicola	5017
Bipolaris sorokiniana	45130
Bipolaris oryzae	101162
Alternaria alternata	5599
Zymoseptoria tritici	1047171
